task_id,user_name,duration_seconds,date,type
manual_cut_13255608896_20260704_070007_00001_task_0,Priya,32.0,2026-08-26,leader_passed
manual_cut_13255608896_20260703_050638_00002_task_4,Priya,70.0,2026-08-26,submitted
manual_cut_13255608896_20260703_050638_00002_task_4,Priya,70.0,2026-08-26,leader_passed
manual_cut_13220521773_20260807_201558_00002_task_0,Priya,180.0,2026-08-26,submitted
manual_cut_13220521773_20260807_201558_00002_task_0,Priya,180.0,2026-08-26,leader_passed
manual_cut_13220521773_20260807_201558_00000_task_7,Priya,19.0,2026-08-26,submitted
manual_cut_13220521773_20260807_201558_00000_task_7,Priya,19.0,2026-08-26,leader_passed
manual_cut_13220521773_20260807_201558_00000_task_5,Priya,73.0,2026-08-26,submitted
manual_cut_13220521773_20260807_201558_00000_task_5,Priya,73.0,2026-08-26,leader_passed
manual_cut_13220521773_20260805_135507_00001_task_6,Priya,23.0,2026-08-26,submitted
manual_cut_13220521773_20260805_135507_00001_task_6,Priya,23.0,2026-08-26,leader_passed
manual_cut_13220521773_20260805_135507_00001_task_5,Priya,12.0,2026-08-26,submitted
manual_cut_13220521773_20260805_135507_00001_task_5,Priya,12.0,2026-08-26,leader_passed
manual_cut_13220521773_20260805_135507_00001_task_4,Priya,18.0,2026-08-26,submitted
manual_cut_13220521773_20260805_135507_00001_task_4,Priya,18.0,2026-08-26,leader_passed
manual_cut_13220521773_20260805_135507_00001_task_3,Priya,158.0,2026-08-26,submitted
manual_cut_13220521773_20260805_135507_00001_task_3,Priya,158.0,2026-08-26,leader_passed
manual_cut_13220521773_20260805_135507_00001_task_2,Priya,54.0,2026-08-26,submitted
manual_cut_13220521773_20260805_135507_00001_task_2,Priya,54.0,2026-08-26,leader_passed
manual_cut_13220521773_20260805_135507_00001_task_1,Priya,23.0,2026-08-26,submitted
manual_cut_13220521773_20260805_135507_00001_task_1,Priya,23.0,2026-08-26,leader_passed
manual_cut_13220521773_20260805_135507_00000_task_3,Priya,39.0,2026-08-26,submitted
manual_cut_13220521773_20260805_135507_00000_task_3,Priya,39.0,2026-08-26,leader_passed
manual_cut_18296743428_20260720_154538_00002_task_0,Komal,300.0,2026-08-26,submitted
manual_cut_18296743428_20260720_154538_00002_task_0,Komal,300.0,2026-08-26,leader_passed
manual_cut_18296743428_20260720_154538_00001_task_4,Komal,158.0,2026-08-26,submitted
manual_cut_18296743428_20260720_154538_00001_task_4,Komal,158.0,2026-08-26,leader_passed
manual_cut_18296743428_20260720_154538_00001_task_0,Komal,27.0,2026-08-26,submitted
manual_cut_18296743428_20260720_154538_00001_task_0,Komal,27.0,2026-08-26,leader_passed
manual_cut_18296743428_20260720_154538_00000_task_2,Komal,218.0,2026-08-26,submitted
manual_cut_18296743428_20260720_154538_00000_task_2,Komal,218.0,2026-08-26,leader_passed
manual_cut_18296743428_20260720_130744_00026_task_4,Komal,132.0,2026-08-26,submitted
manual_cut_18296743428_20260720_130744_00026_task_4,Komal,132.0,2026-08-26,leader_passed
manual_cut_18296743428_20260720_130744_00026_task_3,Komal,38.0,2026-08-26,submitted
manual_cut_18296743428_20260720_130744_00026_task_3,Komal,38.0,2026-08-26,leader_passed
manual_cut_18296743428_20260720_130744_00026_task_2,Komal,79.0,2026-08-26,submitted
manual_cut_18296743428_20260720_130744_00026_task_2,Komal,79.0,2026-08-26,leader_passed
manual_cut_18296743428_20260720_130744_00024_task_3,Komal,20.0,2026-08-26,submitted
manual_cut_18296743428_20260720_130744_00024_task_3,Komal,20.0,2026-08-26,leader_passed
manual_cut_18296743428_20260720_130744_00024_task_2,Komal,128.0,2026-08-26,submitted
manual_cut_18296743428_20260720_130744_00024_task_2,Komal,128.0,2026-08-26,leader_passed
manual_cut_18296743428_20260720_130744_00024_task_1,Komal,100.0,2026-08-26,submitted
manual_cut_18296743428_20260720_130744_00024_task_1,Komal,100.0,2026-08-26,leader_passed
manual_cut_18296743428_20260720_130744_00024_task_0,Komal,49.0,2026-08-26,submitted
manual_cut_18296743428_20260720_130744_00024_task_0,Komal,49.0,2026-08-26,leader_passed
manual_cut_18296743428_20260720_130744_00023_task_2,Komal,191.0,2026-08-26,submitted
manual_cut_18296743428_20260720_130744_00023_task_2,Komal,191.0,2026-08-26,leader_passed
manual_cut_18296743428_20260720_130744_00023_task_1,Komal,34.0,2026-08-26,submitted
manual_cut_18296743428_20260720_130744_00023_task_1,Komal,34.0,2026-08-26,leader_passed
manual_cut_18296743428_20260720_130744_00023_task_0,Komal,74.0,2026-08-26,submitted
manual_cut_18296743428_20260720_130744_00023_task_0,Komal,74.0,2026-08-26,leader_passed
manual_cut_18296743428_20260720_130744_00022_task_1,Komal,138.0,2026-08-26,auditor_passed
manual_cut_18296743428_20260720_130744_00022_task_0,Komal,140.0,2026-08-26,auditor_passed
manual_cut_18296743428_20260720_130744_00021_task_1,Komal,244.0,2026-08-26,auditor_passed
manual_cut_18296743428_20260720_130744_00020_task_4,Komal,61.0,2026-08-26,auditor_passed
manual_cut_18296743428_20260720_130744_00020_task_3,Komal,52.0,2026-08-26,auditor_passed
manual_cut_18296743428_20260720_130744_00020_task_2,Komal,59.0,2026-08-26,auditor_passed
manual_cut_18296743428_20260720_130744_00020_task_1,Komal,52.0,2026-08-26,auditor_passed
manual_cut_18296743428_20260720_130744_00020_task_0,Komal,43.0,2026-08-26,auditor_passed
manual_cut_18296743428_20260720_130744_00019_task_5,Komal,51.0,2026-08-26,auditor_passed
manual_cut_18296743428_20260720_130744_00019_task_4,Komal,39.0,2026-08-26,auditor_passed
manual_cut_18296743428_20260720_130744_00019_task_3,Komal,48.0,2026-08-26,auditor_passed
manual_cut_18296743428_20260720_130744_00019_task_2,Komal,51.0,2026-08-26,auditor_passed
manual_cut_18296743428_20260720_130744_00019_task_1,Komal,37.0,2026-08-26,auditor_passed
manual_cut_18296743428_20260720_130744_00019_task_0,Komal,74.0,2026-08-26,auditor_passed
manual_cut_18296743428_20260720_130744_00018_task_4,Komal,48.0,2026-08-26,auditor_passed
manual_cut_18296743428_20260720_130744_00018_task_3,Komal,59.0,2026-08-26,auditor_passed
manual_cut_18296743428_20260720_130744_00018_task_2,Komal,56.0,2026-08-26,auditor_passed
manual_cut_18296743428_20260720_130744_00018_task_1,Komal,77.0,2026-08-26,auditor_passed
manual_cut_18296743428_20260720_130744_00018_task_0,Komal,59.0,2026-08-26,auditor_passed
manual_cut_18296743428_20260720_130744_00016_task_4,Komal,24.0,2026-08-26,auditor_passed
manual_cut_18296743428_20260720_130744_00016_task_3,Komal,43.0,2026-08-26,auditor_passed
manual_cut_18296743428_20260720_130744_00016_task_2,Komal,77.0,2026-08-26,auditor_passed
manual_cut_18296743428_20260720_130744_00016_task_1,Komal,85.0,2026-08-26,auditor_passed
manual_cut_18296743428_20260720_130744_00016_task_0,Komal,66.0,2026-08-26,auditor_passed
manual_cut_18296743428_20260720_130744_00015_task_4,Komal,45.0,2026-08-26,auditor_passed
manual_cut_18296743428_20260720_130744_00015_task_2,Komal,40.0,2026-08-26,submitted
manual_cut_18296743428_20260720_130744_00015_task_2,Komal,40.0,2026-08-26,leader_passed
manual_cut_18296743428_20260720_130744_00015_task_0,Komal,182.0,2026-08-26,submitted
manual_cut_18296743428_20260720_130744_00015_task_0,Komal,182.0,2026-08-26,leader_passed
manual_cut_18296743428_20260720_130744_00014_task_2,Komal,91.0,2026-08-26,submitted
manual_cut_18296743428_20260720_130744_00014_task_2,Komal,91.0,2026-08-26,leader_passed
manual_cut_18296743428_20260720_130744_00014_task_1,Komal,125.0,2026-08-26,submitted
manual_cut_18296743428_20260720_130744_00014_task_1,Komal,125.0,2026-08-26,leader_passed
manual_cut_18296743428_20260720_130744_00014_task_0,Komal,83.0,2026-08-26,submitted
manual_cut_18296743428_20260720_130744_00014_task_0,Komal,83.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_152823_00008_task_1,Komal,213.0,2026-08-26,submitted
manual_cut_18296743428_20260721_152823_00008_task_1,Komal,213.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_152823_00007_task_5,Komal,25.0,2026-08-26,submitted
manual_cut_18296743428_20260721_152823_00007_task_5,Komal,25.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_152823_00007_task_4,Komal,67.0,2026-08-26,submitted
manual_cut_18296743428_20260721_152823_00007_task_4,Komal,67.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_152823_00007_task_3,Komal,56.0,2026-08-26,submitted
manual_cut_18296743428_20260721_152823_00007_task_3,Komal,56.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_152823_00007_task_2,Komal,66.0,2026-08-26,submitted
manual_cut_18296743428_20260721_152823_00007_task_2,Komal,66.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_152823_00007_task_1,Komal,45.0,2026-08-26,submitted
manual_cut_18296743428_20260721_152823_00007_task_1,Komal,45.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_152823_00007_task_0,Komal,35.0,2026-08-26,submitted
manual_cut_18296743428_20260721_152823_00007_task_0,Komal,35.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_152823_00006_task_3,Komal,30.0,2026-08-26,submitted
manual_cut_18296743428_20260721_152823_00006_task_3,Komal,30.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_152823_00006_task_2,Komal,140.0,2026-08-26,submitted
manual_cut_18296743428_20260721_152823_00006_task_2,Komal,140.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_152823_00006_task_1,Komal,57.0,2026-08-26,submitted
manual_cut_18296743428_20260721_152823_00006_task_1,Komal,57.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_152823_00006_task_0,Komal,69.0,2026-08-26,submitted
manual_cut_18296743428_20260721_152823_00006_task_0,Komal,69.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_152823_00005_task_5,Komal,44.0,2026-08-26,submitted
manual_cut_18296743428_20260721_152823_00005_task_5,Komal,44.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_152823_00005_task_4,Komal,77.0,2026-08-26,submitted
manual_cut_18296743428_20260721_152823_00005_task_4,Komal,77.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_152823_00005_task_3,Komal,40.0,2026-08-26,submitted
manual_cut_18296743428_20260721_152823_00005_task_3,Komal,40.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_152823_00005_task_2,Komal,59.0,2026-08-26,submitted
manual_cut_18296743428_20260721_152823_00005_task_2,Komal,59.0,2026-08-26,leader_passed
